2008-09-25 2008-10-01 6 0 1.6
2008-09-26 2008-10-02 6 0 2.0
2008-09-27 2008-10-03 6 0 2.5
2008-09-28 2008-10-04 5 0 2.0
2008-09-29 2008-10-05 6 0 2.0
2008-09-30 2008-10-06 5 0 1.0
2008-10-01 2008-10-07 4 0 1.0
2008-10-02 2008-10-08 3 0 1.5
2008-10-03 2008-10-09 4 0 1.0
2008-10-04 2008-10-10 3 0 1.0
2008-10-05 2008-10-11 3 0 1.0
2008-10-06 2008-10-12 2 0 1.0
2008-10-07 2008-10-13 2 0 1.0
2008-10-08 2008-10-14 4 0 1.2
2008-10-09 2008-10-15 6 0 1.2
2008-10-10 2008-10-16 6 0 1.3
2008-10-11 2008-10-17 7 0 1.5
2008-10-12 2008-10-18 8 0 1.6
2008-10-13 2008-10-19 8 0 1.6
2008-10-14 2008-10-20 13 0 1.5
2008-10-15 2008-10-21 14 0 1.5
2008-10-16 2008-10-22 14 0 1.4
2008-10-17 2008-10-23 14 0 1.4
2008-10-18 2008-10-24 15 0 1.3
2008-10-19 2008-10-25 17 0 1.5
2008-10-20 2008-10-26 17 0 1.5
2008-10-21 2008-10-27 18 0 2.0
2008-10-22 2008-10-28 21 0 2.0
2008-10-23 2008-10-29 24 0 2.5
2008-10-24 2008-10-30 25 0 2.4
2008-10-25 2008-10-31 31 0 2.5
2008-10-26 2008-11-01 30 0 2.3
2008-10-27 2008-11-02 31 0 2.3
2008-10-28 2008-11-03 27 0 2.2
2008-10-29 2008-11-04 25 0 1.9
2008-10-30 2008-11-05 26 0 1.6
2008-10-31 2008-11-06 32 0 1.8
2008-11-01 2008-11-07 40 1 1.9
2008-11-02 2008-11-08 49 1 2.2
2008-11-03 2008-11-09 49 1 2.5
2008-11-04 2008-11-10 61 1 2.5
2008-11-05 2008-11-11 75 1 2.6
2008-11-06 2008-11-12 80 1 3.0
2008-11-07 2008-11-13 90 1 3.1
2008-11-08 2008-11-14 89 0 2.6
2008-11-09 2008-11-15 107 0 2.8
2008-11-10 2008-11-16 121 0 2.7
2008-11-11 2008-11-17 150 0 2.8
2008-11-12 2008-11-18 152 0 3.0
2008-11-13 2008-11-19 163 0 3.1
2008-11-14 2008-11-20 187 0 3.4
2008-11-15 2008-11-21 217 0 3.5
2008-11-16 2008-11-22 222 0 3.2
2008-11-17 2008-11-23 227 0 3.2
2008-11-18 2008-11-24 211 0 2.8
2008-11-19 2008-11-25 242 0 2.8
2008-11-20 2008-11-26 250 0 2.8
2008-11-21 2008-11-27 253 0 2.5
2008-11-22 2008-11-28 253 0 2.8
2008-11-23 2008-11-29 264 0 4.2
2008-11-24 2008-11-30 268 0 4.1
2008-11-25 2008-12-01 348 0 4.0
2008-11-26 2008-12-02 362 0 4.5
2008-11-27 2008-12-03 404 0 4.7
2008-11-28 2008-12-04 473 0 4.8
2008-11-29 2008-12-05 516 0 4.8
2008-11-30 2008-12-06 577 0 4.3
2008-12-01 2008-12-07 599 0 4.3
2008-12-02 2008-12-08 689 0 4.8
2008-12-03 2008-12-09 758 0 5.0
2008-12-04 2008-12-10 818 0 5.2
2008-12-05 2008-12-11 849 0 5.6
2008-12-06 2008-12-12 955 0 5.9
2008-12-07 2008-12-13 972 0 6.0
2008-12-08 2008-12-14 953 0 6.0
2008-12-09 2008-12-15 1044 0 6.6
2008-12-10 2008-12-16 1109 0 6.7
2008-12-11 2008-12-17 1159 0 7.0
2008-12-12 2008-12-18 1240 0 8.2
2008-12-13 2008-12-19 1295 0 8.9
2008-12-14 2008-12-20 1436 0 9.4
2008-12-15 2008-12-21 1477 0 9.4
2008-12-16 2008-12-22 1664 1 10.2
2008-12-17 2008-12-23 1521 1 9.5
2008-12-18 2008-12-24 1664 1 10.0
2008-12-19 2008-12-25 1694 1 9.4
2008-12-20 2008-12-26 1701 1 9.6
2008-12-21 2008-12-27 1677 1 9.6
2008-12-22 2008-12-28 1715 2 9.8
2008-12-23 2008-12-29 1540 1 9.8
2008-12-24 2008-12-30 1583 1 10.0
2008-12-25 2008-12-31 1319 1 8.6
2008-12-26 2009-01-01 1158 1 7.4
2008-12-27 2009-01-02 989 1 6.2
2008-12-28 2009-01-03 831 1 5.7
2008-12-29 2009-01-04 789 1 5.1
2008-12-30 2009-01-05 910 2 4.7
2008-12-31 2009-01-06 1223 2 5.8
2009-01-01 2009-01-07 1590 2 6.9
2009-01-02 2009-01-08 1916 2 8.3
2009-01-03 2009-01-09 2401 2 10.8
2009-01-04 2009-01-10 2788 3 12.7
2009-01-05 2009-01-11 2886 2 13.0
2009-01-06 2009-01-12 2640 1 12.0
2009-01-07 2009-01-13 3356 1 14.2
2009-01-08 2009-01-14 3737 1 15.7
2009-01-09 2009-01-15 3991 2 16.3
2009-01-10 2009-01-16 4629 3 18.0
2009-01-11 2009-01-17 5221 2 20.2
2009-01-12 2009-01-18 5347 2 20.7
2009-01-13 2009-01-19 7633 2 28.8
2009-01-14 2009-01-20 7988 3 31.1
2009-01-15 2009-01-21 8409 3 32.1
2009-01-16 2009-01-22 9157 2 34.6
2009-01-17 2009-01-23 9753 1 36.6
2009-01-18 2009-01-24 10131 1 37.5
2009-01-19 2009-01-25 10074 1 38.2
2009-01-20 2009-01-26 10078 2 38.5
2009-01-21 2009-01-27 10124 1 39.5
2009-01-22 2009-01-28 10133 1 40.1
2009-01-23 2009-01-29 9892 1 40.4
2009-01-24 2009-01-30 9468 2 40.3
2009-01-25 2009-01-31 9209 3 39.2
2009-01-26 2009-02-01 9310 3 39.2
2009-01-27 2009-02-02 8628 2 36.0
2009-01-28 2009-02-03 8115 2 34.0
2009-01-29 2009-02-04 7801 2 32.7
2009-01-30 2009-02-05 7435 2 32.2
2009-01-31 2009-02-06 7043 1 30.0
2009-02-01 2009-02-07 6580 0 28.4
2009-02-02 2009-02-08 6382 1 27.4
2009-02-03 2009-02-09 5940 1 26.1
2009-02-04 2009-02-10 5776 1 25.3
2009-02-05 2009-02-11 4991 1 22.2
2009-02-06 2009-02-12 4973 1 22.1
2009-02-07 2009-02-13 4680 1 21.7
2009-02-08 2009-02-14 4456 1 21.0
2009-02-09 2009-02-15 4425 0 21.0
2009-02-10 2009-02-16 3960 0 19.2
2009-02-11 2009-02-17 3590 0 17.8
2009-02-12 2009-02-18 3924 0 18.9
2009-02-13 2009-02-19 3515 1 18.1
2009-02-14 2009-02-20 3356 1 17.1
2009-02-15 2009-02-21 3285 1 16.5
2009-02-16 2009-02-22 3276 1 16.5
2009-02-17 2009-02-23 3371 1 16.8
2009-02-18 2009-02-24 3512 1 17.5
2009-02-19 2009-02-25 3649 1 17.9
2009-02-20 2009-02-26 3721 0 17.4
2009-02-21 2009-02-27 3786 0 18.1
2009-02-22 2009-02-28 3849 0 19.0
2009-02-23 2009-03-01 3914 0 19.3
2009-02-24 2009-03-02 4064 1 20.0
2009-02-25 2009-03-03 4162 1 20.2
2009-02-26 2009-03-04 4211 1 21.4
2009-02-27 2009-03-05 4326 1 22.8
2009-02-28 2009-03-06 4438 1 23.3
2009-03-01 2009-03-07 4595 1 23.5
2009-03-02 2009-03-08 4576 1 23.6
2009-03-03 2009-03-09 4680 0 24.1
2009-03-04 2009-03-10 4761 0 24.6
2009-03-05 2009-03-11 4736 1 24.5
2009-03-06 2009-03-12 4768 1 24.5
2009-03-07 2009-03-13 4750 1 24.7
2009-03-08 2009-03-14 4662 1 24.0
2009-03-09 2009-03-15 4645 1 23.7
